name, chained, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
4test23_1500_4_99999999999, #4, 4, 1500, 86.405944, 0.184209, 0.944759, 728, 15000, 99999999999, 1
4test24_2000_4_99999999999, #4, 4, 2000, 77.800735, 0.105195, 0.657273, 734, 20000, 99999999999, 1
4test25_1_4_99999999999, #4, 4, 1, 1.187539, 0.525146, 0.340395, 9, 10, 99999999999, 1
4test26_1000_4_99999999999, #4, 4, 1000, 62.663488, 0.094637, 0.418243, 572, 10000, 99999999999, 1
4test27_200_4_99999999999, #4, 4, 200, 198.198450, 0.775803, 0.391839, 1748, 2000, 99999999999, 1
4test28_50_4_99999999999, #4, 4, 50, 49.838348, 0.446728, 0.140097, 471, 500, 99999999999, 1
4test29_10_4_99999999999, #4, 4, 10, 10.258099, 0.316566, 0.083428, 96, 100, 99999999999, 1
4test30_2000_4_99999999999, #4, 4, 2000, 76.925888, 0.068925, 0.391309, 667, 20000, 99999999999, 1
4test31_400_4_99999999999, #4, 4, 400, 174.040770, 1.123205, 1.450725, 1671, 4000, 99999999999, 1
4test32_600_4_99999999999, #4, 4, 600, 182.220142, 0.696469, 1.265265, 1689, 6000, 99999999999, 1
4test33_1_4_99999999999, #4, 4, 1, 1.067851, 0.495612, 0.220522, 9, 10, 99999999999, 1
4test34_600_4_99999999999, #4, 4, 600, 131.953357, 0.399236, 0.859214, 1112, 6000, 99999999999, 1
4test35_4000_4_99999999999, #4, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, 99999999999, 1
4test36_10_4_99999999999, #4, 4, 10, 10.411395, 0.371795, 0.134166, 95, 100, 99999999999, 1
4test37_4000_4_99999999999, #4, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, 99999999999, 1
4test38_50_4_99999999999, #4, 4, 50, 53.285639, 0.528326, 0.236534, 465, 500, 99999999999, 1
4test39_1000_4_99999999999, #4, 4, 1000, 151.156341, 0.468801, 1.393600, 1432, 10000, 99999999999, 1
4test40_50_4_99999999999, #4, 4, 50, 49.714145, 0.547758, 0.307626, 466, 500, 99999999999, 1
4test41_100_4_99999999999, #4, 4, 100, 95.986561, 0.562528, 0.238211, 907, 1000, 99999999999, 1
4test42_10_4_99999999999, #4, 4, 10, 10.810741, 0.344652, 0.162041, 95, 100, 99999999999, 1
4test43_800_4_99999999999, #4, 4, 800, 98.464414, 0.278497, 0.859938, 916, 8000, 99999999999, 1
4test44_100_4_99999999999, #4, 4, 100, 102.082794, 0.545574, 0.220043, 914, 1000, 99999999999, 1
4test45_800_4_99999999999, #4, 4, 800, 169.592343, 0.464683, 1.050380, 1584, 8000, 99999999999, 1
4test46_600_4_99999999999, #4, 4, 600, 181.438111, 0.506919, 0.941899, 1633, 6000, 99999999999, 1
4test47_4000_4_99999999999, #4, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, 99999999999, 1
4test48_4000_4_99999999999, #4, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, 99999999999, 1
4test49_1500_4_99999999999, #4, 4, 1500, -0.000000, 0.000000, 0.000000, 0, 15000, 99999999999, 1
4test50_10_4_99999999999, #4, 4, 10, 10.580237, 0.351100, 0.137303, 95, 100, 99999999999, 1
4test51_10_4_99999999999, #4, 4, 10, 10.276745, 0.580492, 0.414773, 96, 100, 99999999999, 1
4test52_400_4_99999999999, #4, 4, 400, 194.999349, 1.000618, 1.254246, 1835, 4000, 99999999999, 1
4test53_50_4_99999999999, #4, 4, 50, 49.662202, 0.717520, 0.459314, 467, 500, 99999999999, 1
4test54_2000_4_99999999999, #4, 4, 2000, 98.979525, 0.087685, 0.455041, 855, 20000, 99999999999, 1
4test55_100_4_99999999999, #4, 4, 100, 95.719374, 0.530013, 0.217923, 909, 1000, 99999999999, 1
4test56_600_4_99999999999, #4, 4, 600, 162.719471, 0.462965, 0.930972, 1484, 6000, 99999999999, 1
4test57_100_4_99999999999, #4, 4, 100, 98.280245, 0.594524, 0.258141, 914, 1000, 99999999999, 1
4test58_800_4_99999999999, #4, 4, 800, 182.258837, 0.391800, 1.020166, 1742, 8000, 99999999999, 1
4test59_50_4_99999999999, #4, 4, 50, 49.220833, 0.647269, 0.471539, 473, 500, 99999999999, 1
test0_1500_4_9999999, #5, 4, 1500, 30.932157, 0.018223, 0.133298, 276, 15000, ∞, 1
test1_1_4_9999999, #5, 4, 1, 1.043105, 0.650175, 0.432992, 9, 10, ∞, 1
test2_600_4_9999999, #5, 4, 600, 470.337340, 0.992151, 0.867255, 4029, 6000, ∞, 1
